Area Code,Area,Months,Element,Unit,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
6,Andorra,Mar–Apr–May,Temperature change,°C,0.512,2.864,1.583,-0.104,1.673,2.089,0.802,2.511,1.548,1.048
6,Andorra,Jun–Jul–Aug,Temperature change,°C,1.676,0.866,2.11,1.601,1.167,3.121,1.99,2.932,3.015,2.928
6,Andorra,Sep–Oct–Nov,Temperature change,°C,0.088,2.714,1.324,1.399,3.144,1.117,1.946,0.857,2.168,1.773
6,Andorra,Meteorological year,Temperature change,°C,0.441,1.643,1.233,0.794,1.899,1.619,1.917,1.853,1.826,1.871
7,Angola,January,Temperature change,°C,0.799,-0.051,0.195,0.871,0.582,0.945,1.626,0.659,0.636,1.156
7,Angola,February,Temperature change,°C,1.079,0.745,-0.397,1.657,0.692,1.817,2.043,-0.034,1.014,2.156
7,Angola,March,Temperature change,°C,1.058,0.364,0.277,0.789,0.381,1.36,1.08,-0.25,1.527,2.814
7,Angola,April,Temperature change,°C,0.761,0.493,0.038,0.955,0.168,0.742,1.746,0.408,0.749,2.097
7,Angola,May,Temperature change,°C,1.856,1.422,-0.118,0.906,1.236,1.61,0.84,1.007,1.189,1.922
7,Angola,June,Temperature change,°C,0.847,1.515,0.837,1.635,1.715,1.12,2.033,1.353,2.04,1.631
7,Angola,July,Temperature change,°C,1.517,1.023,1.159,0.524,1.354,1.764,1.506,1.697,2.271,2.193
7,Angola,August,Temperature change,°C,0.774,1.168,0.876,0.471,0.96,0.941,1.592,1.068,1.526,1.795
7,Angola,September,Temperature change,°C,1.741,1.229,0.661,1.061,0.063,1.543,1.413,1.227,1.544,0.534
7,Angola,October,Temperature change,°C,1.494,-0.092,1.058,0.949,0.243,1.033,1.993,0.707,0.535,1.23
7,Angola,November,Temperature change,°C,0.461,0.375,0.598,0.512,0.811,1.344,1.403,0.897,1.239,1.688
7,Angola,December,Temperature change,°C,0.298,-0.371,0.587,0.505,0.908,1.137,0.963,0.893,1.108,1.706
7,Angola,Dec–Jan–Feb,Temperature change,°C,0.728,0.331,-0.191,1.038,0.593,1.223,1.602,0.529,0.848,1.473
7,Angola,Mar–Apr–May,Temperature change,°C,1.225,0.76,0.066,0.883,0.595,1.237,1.222,0.388,1.155,2.278
7,Angola,Jun–Jul–Aug,Temperature change,°C,1.046,1.235,0.957,0.877,1.343,1.275,1.71,1.373,1.946,1.873
7,Angola,Sep–Oct–Nov,Temperature change,°C,1.232,0.504,0.772,0.841,0.372,1.307,1.603,0.944,1.106,1.151
7,Angola,Meteorological year,Temperature change,°C,1.058,0.708,0.401,0.91,0.726,1.26,1.534,0.808,1.264,1.694
258,Anguilla,January,Temperature change,°C,0.837,0.757,-0.11,0.796,1.044,1.13,1.055,0.524,1.056,0.577
258,Anguilla,February,Temperature change,°C,1.562,0.539,0.436,0.477,0.783,1.234,1.214,0.818,0.149,0.853
258,Anguilla,March,Temperature change,°C,2.153,-0.169,0.265,0.537,0.5,0.6,0.928,0.718,0.514,0.839
258,Anguilla,April,Temperature change,°C,1.229,0.167,0.431,0.646,0.767,0.808,1.13,0.393,0.581,0.611
258,Anguilla,May,Temperature change,°C,1.384,0.259,0.203,0.506,0.119,0.903,0.987,0.622,0.251,0.624
258,Anguilla,June,Temperature change,°C,0.707,0.806,0.957,0.354,0.747,0.862,0.945,0.473,0.545,0.775
258,Anguilla,July,Temperature change,°C,0.907,0.137,0.606,0.458,0.629,0.981,0.934,0.874,0.714,1.036
258,Anguilla,August,Temperature change,°C,0.934,0.318,0.505,0.678,0.479,0.871,0.98,0.924,0.612,0.878
258,Anguilla,September,Temperature change,°C,0.644,0.332,0.887,0.834,0.468,0.964,0.7,0.891,0.742,1.034
258,Anguilla,October,Temperature change,°C,0.04,0.685,0.74,0.991,0.837,1.345,0.925,0.63,0.392,0.966
258,Anguilla,November,Temperature change,°C,-0.168,0.426,1.015,0.606,0.719,0.67,0.3,1.449,0.517,1.142
258,Anguilla,December,Temperature change,°C,-0.121,0.297,0.689,0.816,0.628,1.345,1.139,1.207,0.783,1.698
258,Anguilla,Dec–Jan–Feb,Temperature change,°C,1.054,0.392,0.208,0.654,0.881,0.997,1.205,0.827,0.804,0.738
258,Anguilla,Mar–Apr–May,Temperature change,°C,1.589,0.086,0.3,0.563,0.462,0.77,1.015,0.578,0.449,0.691
258,Anguilla,Jun–Jul–Aug,Temperature change,°C,0.849,0.42,0.689,0.497,0.618,0.905,0.953,0.757,0.624,0.896
258,Anguilla,Sep–Oct–Nov,Temperature change,°C,0.172,0.481,0.881,0.81,0.675,0.993,0.642,0.99,0.55,1.047
258,Anguilla,Meteorological year,Temperature change,°C,0.916,0.345,0.52,0.631,0.659,0.916,0.954,0.788,0.607,0.843
30,Antarctica,January,Temperature change,°C,2.022,1.525,-0.224,1.402,0.942,-0.914,-1.637,0.488,0.757,-0.509
30,Antarctica,February,Temperature change,°C,1.98,1.937,0.011,-1.871,-1.865,-0.679,-1.066,0.959,0.046,2.535
30,Antarctica,March,Temperature change,°C,2.779,-0.917,1.48,1.626,-2.003,0.423,-0.341,1.931,1.858,1.966
30,Antarctica,April,Temperature change,°C,-3.382,-0.984,-2.13,-0.099,1.215,0.571,0.817,-1.108,-0.026,0.183
30,Antarctica,May,Temperature change,°C,2.507,-2.658,-0.475,-3.115,2.165,-1.133,1.219,1.268,3.549,0.086
30,Antarctica,June,Temperature change,°C,-1.149,-1.688,-0.882,4.04,1.474,-0.914,-0.464,-1.17,4.585,-2.644
30,Antarctica,July,Temperature change,°C,0.563,2.243,-0.903,1.304,-0.843,-1.439,-1.894,0.185,1.512,1.561
30,Antarctica,August,Temperature change,°C,1.32,3.752,-1.517,5.096,0.718,-1.052,3.439,-0.233,3.157,-0.134
30,Antarctica,September,Temperature change,°C,-0.241,0.309,-0.913,6.738,2.043,-0.901,-0.411,0.561,-1.648,-0.044
30,Antarctica,October,Temperature change,°C,1.323,1.41,0.438,0.729,0.348,2.672,0.75,3.143,3.053,0.466
30,Antarctica,November,Temperature change,°C,0.844,2.917,1.766,2.632,0.82,1.742,2.539,1.747,0.63,1.653
30,Antarctica,December,Temperature change,°C,0.856,0.764,2.376,1.542,0.478,-0.346,1.395,-0.028,2.267,1.07
30,Antarctica,Dec–Jan–Feb,Temperature change,°C,1.73,1.439,0.184,0.636,0.206,-0.372,-1.016,0.947,0.258,1.431
30,Antarctica,Mar–Apr–May,Temperature change,°C,0.635,-1.52,-0.375,-0.529,0.459,-0.046,0.565,0.697,1.794,0.745
30,Antarctica,Jun–Jul–Aug,Temperature change,°C,0.245,1.436,-1.101,3.48,0.45,-1.135,0.36,-0.406,3.085,-0.406
30,Antarctica,Sep–Oct–Nov,Temperature change,°C,0.642,1.545,0.43,3.366,1.07,1.171,0.959,1.817,0.678,0.692
30,Antarctica,Meteorological year,Temperature change,°C,0.813,0.725,-0.216,1.738,0.546,-0.095,0.217,0.764,1.454,0.615
8,Antigua and Barbuda,January,Temperature change,°C,0.774,0.888,0.319,0.836,1.01,1.279,1.068,0.615,1.311,0.475
8,Antigua and Barbuda,February,Temperature change,°C,1.642,0.471,0.381,0.519,0.651,1.403,1.33,0.963,0.247,0.825
8,Antigua and Barbuda,March,Temperature change,°C,2.315,-0.209,0.339,0.67,0.372,0.704,0.785,0.804,0.686,0.862
8,Antigua and Barbuda,April,Temperature change,°C,1.177,0.12,0.497,0.694,0.733,0.645,1.176,0.486,0.512,0.294
8,Antigua and Barbuda,May,Temperature change,°C,1.515,0.491,0.258,0.582,0.13,0.816,1,0.666,0.1,0.614
8,Antigua and Barbuda,June,Temperature change,°C,0.613,0.942,0.875,0.366,0.602,0.722,0.742,0.308,0.441,0.731
8,Antigua and Barbuda,July,Temperature change,°C,0.919,0.253,0.631,0.493,0.353,0.887,0.907,0.854,0.632,1.104
8,Antigua and Barbuda,August,Temperature change,°C,0.84,0.376,0.462,0.65,0.47,0.787,0.967,0.946,0.504,1.049
8,Antigua and Barbuda,September,Temperature change,°C,0.778,0.394,0.975,0.923,0.533,0.938,0.738,0.835,0.691,1.229
8,Antigua and Barbuda,October,Temperature change,°C,0.2,0.683,0.557,0.921,0.864,1.496,1.255,0.764,0.354,0.859
8,Antigua and Barbuda,November,Temperature change,°C,0.177,0.574,1.017,0.72,0.889,0.69,0.264,1.349,0.54,1.169
8,Antigua and Barbuda,December,Temperature change,°C,0.496,0.51,0.758,0.942,0.729,1.497,1.295,1.297,0.711,1.729
8,Antigua and Barbuda,Dec–Jan–Feb,Temperature change,°C,0.994,0.618,0.403,0.704,0.868,1.137,1.298,0.958,0.952,0.67
8,Antigua and Barbuda,Mar–Apr–May,Temperature change,°C,1.669,0.134,0.365,0.649,0.412,0.722,0.987,0.652,0.433,0.59
8,Antigua and Barbuda,Jun–Jul–Aug,Temperature change,°C,0.791,0.524,0.656,0.503,0.475,0.799,0.872,0.703,0.526,0.961
8,Antigua and Barbuda,Sep–Oct–Nov,Temperature change,°C,0.385,0.55,0.85,0.855,0.762,1.041,0.752,0.983,0.528,1.086
8,Antigua and Barbuda,Meteorological year,Temperature change,°C,0.96,0.457,0.569,0.678,0.629,0.925,0.977,0.824,0.61,0.827
9,Argentina,January,Temperature change,°C,0.831,0.634,1.6,0.916,1.107,0.641,1.166,1.445,0.839,0.355
9,Argentina,February,Temperature change,°C,0.342,-0.003,0.887,0.558,0.075,0.523,1.696,1.631,1.413,0.538
9,Argentina,March,Temperature change,°C,1.44,0.175,0.894,-1.058,-0.801,1.462,0.441,0.672,0.375,-0.362
9,Argentina,April,Temperature change,°C,-0.161,0.793,0.228,1.512,0.207,2.173,-0.034,0.475,2.934,1.449
9,Argentina,May,Temperature change,°C,-0.455,0.118,1.112,0.297,0.357,1.629,-1.107,0.686,1.334,0.657
9,Argentina,June,Temperature change,°C,0.572,0.06,0.296,1.301,0.747,2.061,-0.588,1.069,-0.572,1.792
9,Argentina,July,Temperature change,°C,-1.022,-0.374,-1.264,0.099,0.649,1.116,0.217,1.878,-0.976,0.444
9,Argentina,August,Temperature change,°C,-0.736,-0.774,0.939,-0.708,2.164,2.256,1.756,1.845,0.222,0.426
9,Argentina,September,Temperature change,°C,0.249,1.322,1.471,-0.524,1.552,0.216,0.486,1.083,2.137,0.38
9,Argentina,October,Temperature change,°C,0.175,0.079,0.915,1.251,2.48,-1.123,0.44,0.486,0.299,0.516
9,Argentina,November,Temperature change,°C,-0.133,1.292,1.184,0.609,0.105,-0.13,0.343,0.269,0.629,1.749
9,Argentina,December,Temperature change,°C,0.563,0.708,0.476,2.296,0.103,0.687,1.149,1.304,0.564,0.783
9,Argentina,Dec–Jan–Feb,Temperature change,°C,0.336,0.398,1.065,0.65,1.159,0.422,1.183,1.408,1.185,0.486
9,Argentina,Mar–Apr–May,Temperature change,°C,0.275,0.362,0.745,0.25,-0.079,1.755,-0.233,0.611,1.548,0.581
9,Argentina,Jun–Jul–Aug,Temperature change,°C,-0.395,-0.363,-0.01,0.231,1.187,1.811,0.462,1.597,-0.442,0.887
9,Argentina,Sep–Oct–Nov,Temperature change,°C,0.097,0.898,1.19,0.445,1.379,-0.346,0.423,0.613,1.022,0.882
9,Argentina,Meteorological year,Temperature change,°C,0.078,0.324,0.748,0.394,0.912,0.91,0.459,1.057,0.828,0.709
22,Aruba,January,Temperature change,°C,2.187,-0.123,0.16,1.601,0.888,1.268,1.023,0.137,1.529,1.17
22,Aruba,February,Temperature change,°C,2.087,0.877,0.479,1.442,1.413,1.187,1.085,0.838,0.23,1.122
22,Aruba,March,Temperature change,°C,2.547,-0.326,0.074,1.719,0.909,0.959,1.047,1.195,1.087,1.129
22,Aruba,April,Temperature change,°C,1.337,0.223,0.478,1.061,1.012,2.533,1.025,1.671,1.263,1.054
22,Aruba,May,Temperature change,°C,1.606,0.578,1.041,0.818,0.286,2.003,1.08,1.139,0.914,1.156
22,Aruba,June,Temperature change,°C,2.144,0.339,0.965,0.843,0.74,0.59,0.712,0.674,0.697,1.139
22,Aruba,July,Temperature change,°C,1.105,0.936,1.013,1.093,0.685,2.031,1.325,1.442,0.934,1.176
22,Aruba,August,Temperature change,°C,1.131,0.623,0.78,0.971,0.985,2.397,1.613,1.475,1.016,1.608
22,Aruba,September,Temperature change,°C,-0.21,0.293,1.079,1.023,1.032,2.891,0.917,2.024,1.416,1.458
22,Aruba,October,Temperature change,°C,0.303,0.029,0.128,0.971,1.015,1.042,0.574,0.696,-0.062,1.33
22,Aruba,November,Temperature change,°C,-0.698,1.017,0.539,0.02,0.335,1.095,0.841,0.836,0.674,1.616
22,Aruba,December,Temperature change,°C,0.148,0.046,0.653,0.29,1.218,0.764,1.592,1.036,0.628,1.441565657
22,Aruba,Dec–Jan–Feb,Temperature change,°C,2.069,0.301,0.228,1.232,0.864,1.224,0.957,0.856,0.932,0.973
22,Aruba,Mar–Apr–May,Temperature change,°C,1.83,0.158,0.531,1.199,0.736,1.832,1.051,1.335,1.088,1.113
22,Aruba,Jun–Jul–Aug,Temperature change,°C,1.46,0.633,0.919,0.969,0.803,1.673,1.217,1.197,0.882,1.308
22,Aruba,Sep–Oct–Nov,Temperature change,°C,-0.202,0.446,0.582,0.671,0.794,1.676,0.777,1.185,0.676,1.468
22,Aruba,Meteorological year,Temperature change,°C,1.289,0.385,0.565,1.018,0.799,1.601,1,1.143,0.895,1.216
10,Australia,January,Temperature change,°C,0.877,1.078,0.284,1.978,1.237,0.405,0.883,1.065,1.494,2.727
10,Australia,February,Temperature change,°C,1.069,0.068,-0.029,1.045,0.382,1.93,1.29,0.739,0.999,1.456
10,Australia,March,Temperature change,°C,0.425,-0.679,-0.765,0.877,0.913,0.848,1.763,1.682,1.066,1.899
10,Australia,April,Temperature change,°C,1.491,-0.331,0.289,1.208,1.255,-0.399,2.122,0.236,2.332,1.292
10,Australia,May,Temperature change,°C,0.865,-0.902,-0.057,1.437,1.956,0.28,2.313,1.048,0.644,0.906
10,Australia,June,Temperature change,°C,0.389,-0.509,-0.473,0.864,0.555,1.32,1.283,0.526,0.33,0.275
10,Australia,July,Temperature change,°C,1.167,0.726,-0.12,1.608,0.462,0.583,1.138,1.761,1.237,1.47
10,Australia,August,Temperature change,°C,0.28,1.244,0.493,1.764,0.475,0.869,0.706,1.198,0.191,0.434
10,Australia,September,Temperature change,°C,0.461,0.422,1.31,2.781,1.43,0.591,0.34,1.474,0.859,1.252
10,Australia,October,Temperature change,°C,-0.068,0.698,1.035,1.656,2.068,2.98,-0.157,1.668,1.955,2.119
10,Australia,November,Temperature change,°C,-0.32,0.617,1.511,0.811,1.983,2.118,0.779,1.03,0.929,1.202
10,Australia,December,Temperature change,°C,-0.318,-0.197,1.366,0.948,1.089,1.246,0.981,1.306,2.051,3.107
10,Australia,Dec–Jan–Feb,Temperature change,°C,1.013,0.276,0.019,1.463,0.856,1.141,1.14,0.928,1.266,2.078
10,Australia,Mar–Apr–May,Temperature change,°C,0.927,-0.637,-0.178,1.174,1.375,0.243,2.066,0.989,1.347,1.366
10,Australia,Jun–Jul–Aug,Temperature change,°C,0.612,0.487,-0.033,1.412,0.497,0.924,1.042,1.162,0.586,0.726
10,Australia,Sep–Oct–Nov,Temperature change,°C,0.024,0.579,1.285,1.749,1.827,1.896,0.321,1.391,1.248,1.524
10,Australia,Meteorological year,Temperature change,°C,0.644,0.176,0.273,1.45,1.139,1.051,1.142,1.117,1.112,1.423
11,Austria,January,Temperature change,°C,-0.951,1.707,2.56,1.971,4.368,3.332,2.116,-2.346,4.845,0.872
11,Austria,February,Temperature change,°C,0.011,0.845,-3.405,-0.653,3.602,0.705,4.221,3.215,-1.881,3.655
11,Austria,March,Temperature change,°C,0.791,1.95,3.801,-1.141,4.026,1.911,1.46,4.335,-0.579,3.332
11,Austria,April,Temperature change,°C,1.366,3.638,1.421,1.964,2.932,1.321,1.921,0.837,5.448,2.187
11,Austria,May,Temperature change,°C,0.531,2.037,2.207,0.509,0.588,1.65,1.104,2.265,4.056,-1.269
11,Austria,June,Temperature change,°C,1.501,1.738,2.563,0.964,1.532,1.967,1.916,3.611,2.686,5.024
11,Austria,July,Temperature change,°C,3.07,0.188,2.146,3.219,1.547,4.192,2.595,2.404,2.744,2.851
11,Austria,August,Temperature change,°C,0.877,2.732,3.021,2.447,0.049,4.032,1.541,3.289,4.06,3.264
11,Austria,September,Temperature change,°C,-0.846,2.865,1.191,0.307,0.984,0.462,3.079,-0.857,2.364,1.269
11,Austria,October,Temperature change,°C,-0.941,0.328,0.811,2.007,2.912,0.474,-0.101,1.943,2.815,2.758
11,Austria,November,Temperature change,°C,2.022,0.418,2.502,1.131,3.82,3.224,0.915,0.748,2.396,2.526
11,Austria,December,Temperature change,°C,-1.933,2.642,0.451,2.492,2.563,4.234,1.311,1.179,1.909,3.091
11,Austria,Dec–Jan–Feb,Temperature change,°C,-0.135,0.206,0.599,0.59,3.487,2.2,3.524,0.727,1.381,2.145
11,Austria,Mar–Apr–May,Temperature change,°C,0.896,2.542,2.476,0.444,2.515,1.627,1.495,2.479,2.975,1.417
11,Austria,Jun–Jul–Aug,Temperature change,°C,1.816,1.553,2.577,2.21,1.043,3.397,2.017,3.101,3.163,3.713
11,Austria,Sep–Oct–Nov,Temperature change,°C,0.078,1.204,1.501,1.148,2.572,1.387,1.298,0.611,2.525,2.184
11,Austria,Meteorological year,Temperature change,°C,0.664,1.376,1.788,1.098,2.404,2.153,2.083,1.73,2.511,2.365
12,Bahamas,January,Temperature change,°C,-1.017,-0.373,0.645,2.134,0.923,1.535,0.455,1.24,0.657,1.322
